City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,altamira,-3.2033,-52.2064,34.05,52,75,2.57,BR,1724007374
172,murun-kuren,49.6342,100.1625,16.25,56,1,1.53,MN,1724007376
173,rundu,-17.9333,19.7667,19.92,22,0,2.51,NA,1724007377
174,christchurch,-43.5333,172.6333,2.17,89,75,2.06,NZ,1724006597
175,nagqu,31.5,92.0,-1.31,58,0,1.03,CN,1724007379
176,avarua,-21.2078,-159.775,22.03,78,75,4.12,CK,1724007380
177,burao,9.5221,45.5336,25.85,43,8,10.17,SO,1724007382
178,berezovyy,51.6667,135.7,11.28,73,6,1.77,RU,1724007383
179,pacific grove,36.6177,-121.9166,22.45,87,40,4.02,US,1724007384
180,nova sintra,14.8667,-24.7167,27.26,82,66,4.67,CV,1724007385
181,westport,41.1415,-73.3579,25.18,93,100,7.2,US,1724007214
182,zhanaozen,43.3,52.8,23.96,24,0,2.53,KZ,1724007387
183,vyazemskiy,47.5378,134.7525,15.1,88,100,2.94,RU,1724007389
184,pangody,65.85,74.4859,12.57,93,100,0.52,RU,1724007390
185,tura,25.5198,90.2201,23.29,98,79,2.01,IN,1724007391
186,achinsk,56.2694,90.4993,13.78,91,100,2.53,RU,1724007177
187,panaba,21.2833,-88.2667,35.7,43,34,2.4,MX,1724007395
188,shibetsu,43.659,145.132,15.39,91,0,0.76,JP,1724007397
189,namsos,64.4662,11.4957,11.95,94,75,1.54,NO,1724007398
190,big stone gap,36.8677,-82.7745,23.01,88,76,2.26,US,1724007400
191,badger,64.8,-147.5333,21.14,74,40,4.63,US,1724007401
192,the pas,53.8251,-101.2541,22.01,56,100,5.14,CA,1724007402
193,morehead,37.2711,-87.1764,28.86,70,40,3.09,US,1724007283
194,pitimbu,-7.4706,-34.8086,25.66,72,88,6.43,BR,1724007404
195,palmer,42.1584,-72.3287,20.5,94,100,0.0,US,1724007132
196,jieshi,22.8134,115.8257,27.73,86,99,7.59,CN,1724007407
197,brandon,27.9378,-82.2859,34.58,55,100,1.54,US,1724007242
198,krutinka,56.0055,71.5113,12.5,93,24,3.17,RU,1724007409
199,iaciara,-14.0958,-46.6317,35.09,10,8,3.19,BR,1724007410
200,polyarnyy,69.1989,33.4478,10.99,78,0,0.98,RU,1724007411
201,bolama,11.5833,-15.4667,25.19,88,100,4.37,GW,1724007413
202,howrah,22.5892,88.3103,28.0,89,75,2.57,IN,1724007414
203,east london,-33.0153,27.9116,14.52,94,40,1.54,ZA,1724007415
204,dudinka,69.4058,86.1778,15.8,71,100,3.37,RU,1724007416
205,calama,-22.4667,-68.9333,22.27,10,0,6.69,CL,1724007417
206,shenjiamen,29.9576,122.298,27.55,88,100,3.2,CN,1724007419
207,muli,2.9167,73.5667,27.57,82,100,6.91,MV,1724007420
208,marica,-22.9194,-42.8186,26.97,56,0,5.08,BR,1724007421
209,kuching,1.55,110.3333,26.16,97,20,1.54,MY,1724007422
210,fresnillo,23.1667,-102.8833,23.7,32,100,5.97,MX,1724007424
211,novoazovs'k,47.1139,38.086,25.17,38,1,4.56,UA,1724007425
212,luzino,54.9481,73.0353,12.87,88,40,1.0,RU,1724007426
213,ulladulla,-35.35,150.4667,9.01,88,7,2.41,AU,1724007427
214,aykhal,66.0,111.5,13.31,68,100,3.01,RU,1724007428
215,vytegra,61.0064,36.4481,14.65,66,10,1.67,RU,1724007430
216,san antonio de pale,-1.4014,5.6325,23.66,82,2,4.13,GQ,1724007431
217,utrik,11.2278,169.8474,28.23,78,90,6.56,MH,1724007432
218,itoman,26.1247,127.6694,29.01,87,75,11.83,JP,1724007433
219,port blair,11.6667,92.75,27.58,83,94,3.44,IN,1724007434
220,negombo,7.2083,79.8358,27.03,94,20,2.57,LK,1724007436
221,tazovsky,67.4667,78.7,10.6,91,100,2.7,RU,1724007437
222,kawambwa,-9.7915,29.0791,19.08,38,3,0.91,ZM,1724007438
223,fada,7.25,4.0667,28.37,69,75,3.09,NG,1724007439
224,burang,30.25,81.1667,11.52,78,100,1.92,CN,1724007440
225,baie-comeau,49.2168,-68.1489,21.82,78,0,2.57,CA,1724007442
226,madinat ash shamal,26.1293,51.2009,33.09,78,40,4.33,QA,1724007443
227,roma,43.2128,-75.4557,24.82,92,100,4.12,US,1724007063
228,island harbour,50.724,-1.2758,19.43,72,7,2.24,GB,1724007446
229,xudat,41.631,48.681,22.64,69,0,4.61,AZ,1724007448
230,geraldton,-28.7667,114.6,15.23,67,100,5.66,AU,1724007449
231,vadso,70.0744,29.7487,13.09,82,0,4.63,NO,1724007450
232,auki,-8.7676,160.7034,25.29,91,100,1.89,SB,1724007451
233,udachny,66.4167,112.4,13.91,66,41,3.05,RU,1724007452
234,touros,-5.1989,-35.4608,26.65,68,91,7.8,BR,1724007192
235,santa cruz,-17.8,-63.1667,35.7,43,20,10.29,BO,1724007421
236,villa canas,-34.0057,-61.6076,15.53,76,100,3.06,AR,1724007456
237,pandan,14.0453,124.1694,26.83,83,99,2.42,PH,1724007457
238,afaahiti,-17.75,-149.2833,22.86,81,98,12.64,PF,1724007458
239,kosh-agach,50.0,88.6667,13.86,61,100,1.93,RU,1724007460
240,san rafael,-34.6177,-68.3301,10.0,56,100,6.62,AR,1724007461
241,deqen,29.9618,90.7188,6.18,69,0,0.94,CN,1724007462
242,gidole,5.65,37.3667,15.93,63,91,1.38,ET,1724007463
243,mugia,43.1041,-9.2179,20.51,84,50,8.61,ES,1724007464
244,rurrenabaque,-14.4413,-67.5278,33.94,49,20,2.06,BO,1724007466
245,maragogi,-9.0122,-35.2225,24.98,74,100,5.02,BR,1724007467
246,bikenibeu village,1.3673,173.1241,27.98,83,40,3.6,KI,1724007468
247,nungua,5.6011,-0.0771,25.23,78,0,6.17,GH,1724007469
248,vila velha,-20.3297,-40.2925,27.97,60,0,6.69,BR,1724007301
249,rabigh,22.7986,39.0349,32.18,56,17,1.05,SA,1724007473
250,wewak,-3.5534,143.6268,26.07,88,93,2.98,PG,1724007474
251,ha giang,22.8333,104.9833,24.51,96,88,1.45,VN,1724007475
252,rengasdengklok,-6.1592,107.2981,23.79,87,19,2.18,ID,1724007476
253,mirnyy,62.5353,113.9611,13.52,68,100,1.9,RU,1724007477
254,atascadero,35.4894,-120.6707,26.01,59,0,1.79,US,1724007479
255,atbara,17.7022,33.9864,30.19,57,67,9.25,SD,1724007480
256,kirishi,59.4471,32.0205,13.75,77,8,1.67,RU,1724007481
257,bamboo flat,11.7,92.7167,27.05,83,93,3.29,IN,1724007482
258,tarko-sale,64.9225,77.785,15.41,70,65,3.69,RU,1724007483
259,toliara,-23.35,43.6667,22.31,65,0,1.39,MG,1724007485
260,zambezi,-13.5432,23.1047,18.72,11,0,3.01,ZM,1724007486
261,mermoz boabab,14.7065,-17.4758,28.88,79,75,3.09,SN,1724007487
262,quelimane,-17.8786,36.8883,22.97,78,0,2.24,MZ,1724007489
263,bodaybo,57.8506,114.1933,16.24,81,100,1.33,RU,1724007491
264,kodiak,57.79,-152.4072,17.73,77,40,5.66,US,1724007492
265,birao,10.2849,22.7882,21.82,91,100,3.49,CF,1724007493
266,svetlyy,54.675,20.1347,22.84,73,100,2.23,RU,1724007494
267,mount gambier,-37.8333,140.7667,9.33,85,100,2.16,AU,1724007495
268,nuuk,64.1835,-51.7216,6.6,75,5,4.92,GL,1724007497
269,el charco,2.4769,-78.1105,28.36,76,93,4.17,CO,1724007498
270,bandon,51.7469,-8.7425,17.77,77,100,4.77,IE,1724007500
271,youghal,51.95,-7.8506,17.18,73,33,6.43,IE,1724007501
272,ghadamis,30.1337,9.5007,35.73,20,0,4.58,LY,1724007503
273,villanueva,15.3167,-88.0,32.55,58,40,3.09,HN,1724007504
274,bowen,-20.0167,148.2333,17.42,67,4,2.82,AU,1724007505
275,salinopolis,-0.6136,-47.3561,28.4,70,52,5.06,BR,1724007506
276,tromso,69.6496,18.957,15.01,67,100,0.0,NO,1724007507
277,minas de marcona,-15.2119,-75.1103,18.73,48,2,6.18,PE,1724007509
278,castillos,-34.1667,-53.8333,13.54,96,100,5.11,UY,1724007510
279,tarinkot,32.6268,65.8733,29.84,26,0,1.44,AF,1724007511
280,farmville,37.3021,-78.3919,29.13,37,24,3.3,US,1724007512
281,kone,-21.0595,164.8658,20.54,94,65,0.17,NC,1724007513
282,ancud,-41.8697,-73.8203,8.4,61,12,5.21,CL,1724007514
283,cockburn town,21.4612,-71.1419,29.19,75,0,5.27,TC,1724007516
284,carutapera,-1.195,-46.02,28.84,65,100,4.95,BR,1724007517
285,as sulayyil,20.4607,45.5779,37.22,13,7,2.11,SA,1724007518
286,gulf shores,30.246,-87.7008,35.19,66,0,3.09,US,1724007519
287,nyurba,63.2842,118.3319,11.69,58,45,2.2,RU,1724007520
288,nabire,-3.3667,135.4833,23.41,92,100,1.52,ID,1724007522
289,paicandu,-23.4575,-52.0486,36.37,13,0,4.12,BR,1724007523
290,itamaraca,-7.7478,-34.8256,26.28,66,95,5.07,BR,1724007524
291,buturlinovka,50.8239,40.6092,21.29,37,0,1.54,RU,1724007424
292,karratha,-20.7377,116.8463,18.51,43,0,4.66,AU,1724007526
293,nephi,39.7102,-111.8363,30.23,29,28,4.75,US,1724007528
294,okhotsk,59.3833,143.3,11.9,75,26,2.54,RU,1724007529
295,faliraki,36.3398,28.1994,27.98,78,0,7.2,GR,1724007530
296,tshabong,-26.05,22.45,18.08,20,0,2.55,BW,1724007531
297,morondava,-20.2833,44.2833,23.5,62,4,4.72,MG,1724007532
298,newnham,-41.3833,147.1333,4.53,87,100,2.57,AU,1724007534
299,nicoya,10.1483,-85.452,28.67,77,100,1.1,CR,1724007537
300,cayiralan,39.3028,35.6439,21.28,37,7,2.55,TR,1724007538
301,paita,-5.0892,-81.1144,20.41,70,7,8.32,PE,1724007540
302,smithers,54.7804,-127.1743,19.18,39,20,1.03,CA,1724007545
303,sao vicente,-23.9631,-46.3919,25.98,26,29,2.06,BR,1724007546
304,katsuren-haebaru,26.3369,127.8719,29.01,90,40,5.66,JP,1724007547
305,singkil,-7.9855,111.4161,20.73,93,79,2.47,ID,1724007548
306,mil'kovo,55.6078,37.7956,22.02,58,0,1.81,RU,1724007550
307,latehar,23.75,84.5,25.12,87,8,0.97,IN,1724007551
308,antalaha,-14.9003,50.2788,21.08,85,17,4.92,MG,1724007552
309,garachico,28.7781,-17.7646,23.06,78,20,6.69,ES,1724007553
310,mahina,-17.5065,-149.489,26.87,78,75,2.06,PF,1724007554
311,cortina d'ampezzo,46.5384,12.1377,16.31,94,100,1.14,IT,1724007556
312,hami,42.8,93.45,32.99,11,0,7.99,CN,1724007557
313,gondar,12.6,37.4667,14.12,97,99,1.72,ET,1724007558
314,akashi,34.6333,134.9833,26.38,82,92,3.05,JP,1724007559
315,nouadhibou,20.931,-17.0347,23.99,78,90,10.29,MR,1724007560
316,beyneu,45.3167,55.2,24.79,32,0,2.7,KZ,1724007562
317,sanctuary point,-35.1114,150.629,9.54,87,14,2.93,AU,1724007563
318,ciudad lazaro cardenas,17.9583,-102.2,30.99,64,100,3.4,MX,1724007564
319,klaksvik,62.2266,-6.589,10.64,81,10,8.97,FO,1724007565
320,gadzhiyevo,69.2551,33.3362,10.69,79,0,1.1,RU,1724007568
321,yonggwang-up,40.0183,127.4547,23.09,95,71,1.03,KP,1724007569
322,serang,-6.1149,106.1502,24.26,88,21,0.6,ID,1724007570
323,ahvaz,31.3203,48.6693,36.97,63,0,4.12,IR,1724007494
324,bosaso,11.2842,49.1816,33.68,46,26,3.6,SO,1724007572
325,nar'yan-mar,67.6713,53.087,6.64,93,76,3.37,RU,1724007574
326,mudgee,-32.5943,149.5871,8.01,94,66,1.68,AU,1724007575
327,santa marta,11.2408,-74.199,32.16,73,20,2.57,CO,1724007577
328,alofi,-19.0595,-169.9187,22.94,83,40,5.66,NU,1724007578
329,basoko,1.2391,23.616,22.85,90,98,1.63,CD,1724007580
330,carnarvon,-24.8667,113.6333,18.42,55,100,4.7,AU,1724007581
331,orsa,54.5153,30.4053,21.33,67,3,1.45,BY,1724007582
332,cotija de la paz,19.8167,-102.6833,23.66,73,39,0.75,MX,1724007583
333,weno,7.4515,151.8468,29.19,72,67,2.45,FM,1724007584
334,ocean shores,46.9737,-124.1563,19.14,84,100,3.6,US,1724007524
335,magadan,59.5667,150.8,9.23,83,70,1.76,RU,1724007587
336,posto fiscal rolim de moura,-13.0833,-62.2667,38.97,19,99,1.52,BR,1724007588
337,waingapu,-9.6567,120.2641,21.91,83,75,2.53,ID,1724007589
338,kintinku,-5.8833,35.2333,24.9,35,7,4.28,TZ,1724007590
339,st. john's,47.5649,-52.7093,27.93,47,75,8.75,CA,1724007591
340,rio verde,21.9333,-99.9833,28.78,48,100,2.06,MX,1724007379
341,delogozda,41.2572,20.7236,17.38,88,20,4.12,MK,1724007594
342,rexburg,43.826,-111.7897,30.56,24,0,4.65,US,1724007595
343,tarfaya,27.9358,-12.9218,22.48,90,6,7.2,MA,1724007596
344,camana,-16.6228,-72.7111,19.06,71,13,4.49,PE,1724007597
345,opuwo,-18.0607,13.84,22.91,15,13,3.67,NA,1724007599
346,santa vitoria do palmar,-33.5189,-53.3681,14.33,94,100,5.77,BR,1724007600
347,gursarai,25.6148,79.1788,29.41,73,65,2.97,IN,1724007601
348,hengchun,22.0042,120.7439,27.51,84,100,5.68,TW,1724007603
349,kenai,60.5544,-151.2583,15.05,99,100,4.12,US,1724007604
350,constantia,44.1833,28.65,23.38,71,38,1.81,RO,1724007605
351,ambovombe,-25.1667,46.0833,18.67,69,0,4.89,MG,1724007606
352,kayangel,8.0823,134.7173,29.07,70,81,0.58,PW,1724007607
